Date,Open,High,Low,Close,Adj Close,Volume
09/05/2018,186.550003,187.399994,185.220001,187.360001,186.640305,23211200
10/05/2018,187.740005,190.369995,187.649994,190.039993,189.309998,27989300
11/05/2018,189.490005,190.059998,187.449997,188.589996,188.589996,26212200
14/05/2018,189.009995,189.529999,187.860001,188.149994,188.149994,20778800
15/05/2018,186.779999,187.070007,185.100006,186.440002,186.440002,23695200
16/05/2018,186.070007,188.460007,186,188.179993,188.179993,19183100
17/05/2018,188,188.910004,186.360001,186.990005,186.990005,17294000
18/05/2018,187.190002,187.809998,186.130005,186.309998,186.309998,18297700
21/05/2018,188,189.270004,186.910004,187.630005,187.630005,18400800
22/05/2018,188.380005,188.880005,186.779999,187.160004,187.160004,15240700
23/05/2018,186.350006,188.5,185.759995,188.360001,188.360001,19467900
24/05/2018,188.770004,188.839996,186.210007,188.149994,188.149994,20401000
25/05/2018,188.229996,189.649994,187.649994,188.580002,188.580002,17461000
29/05/2018,187.600006,188.75,186.869995,187.899994,187.899994,22369000
30/05/2018,187.720001,188,186.779999,187.5,187.5,18690500
31/05/2018,187.220001,188.229996,186.139999,186.869995,186.869995,27482800
01/06/2018,187.990005,190.259995,187.75,190.240005,190.240005,23250400
04/06/2018,191.639999,193.419998,191.350006,191.830002,191.830002,26132000
05/06/2018,193.070007,193.940002,192.360001,193.309998,193.309998,21566000
06/06/2018,193.630005,194.080002,191.919998,193.979996,193.979996,20933600
07/06/2018,194.139999,194.199997,192.339996,193.460007,193.460007,21347200
08/06/2018,191.169998,192,189.770004,191.699997,191.699997,26522000